year,lds_onset_pentad,lds_cessation_pentad,lds_duration
1985,192,202,10
1986,192,236,44
1987,176,191,15
1988,196,231,35
1989,215,232,17
1990,213,231,18
1991,206,242,36
1992,217,247,30
1993,182,227,45
1994,200,221,21
1995,216,226,10
1996,192,206,14
1997,196,222,26
1998,191,251,60
1999,205,221,16
2000,185,207,22
2001,181,246,65
2002,201,206,5
2003,195,217,22
2004,202,231,29
2005,201,231,30
2006,211,230,19
2007,205,222,17
2008,210,237,27
2009,236,240,4
2010,192,216,24
2011,216,231,15
2012,182,226,44
2013,205,230,25
2014,195,227,32
2015,192,226,34
2016,176,227,51
2017,186,191,5
2018,207,217,10
2019,206,226,20
2020,193,237,44
2021,196,211,15
2022,186,202,16
2023,211,221,10
2024,195,225,30
